trial_id,session_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,speaker_azimuth_deg,speaker_distance_m,repetition,attempt,sample_rate_hz,frames_in,ir_samples,window_start_sample,left_peak_sample_full,right_peak_sample_full,left_peak_sample_windowed,right_peak_sample_windowed,itd_ms,ild_db,reference_rms_dbfs,loopback_lag_samples,loopback_lag_ms,loopback_correlation,ear_l_rms_dbfs,ear_r_rms_dbfs,qc_passed_basic,qc_fail_reasons,ear_l_wav,ear_r_wav,stereo_wav,metadata_json
brir_theta_000_spk_A_rep01,exp02_campaign_20260718_001,0,0,0,False,A,-30.0,1.0,1,2,48000,406144,24000,202,234,248,32,46,0.2916666666666667,2.0276751506582116,-24.309747938261822,8841,184.1875,0.9808170297887371,-36.121008910292154,-37.68098852297469,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_000_spk_A_rep01.json
brir_theta_000_spk_B_rep01,exp02_campaign_20260718_001,0,0,0,False,B,30.0,1.0,1,2,48000,406144,24000,201,247,233,46,32,-0.2916666666666667,-0.8694845790772945,-24.309701606158818,8847,184.3125,0.9897204315775983,-36.56030688409714,-36.34120225702275,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_000_spk_B_rep01.json
brir_theta_000_spk_A_rep02,exp02_campaign_20260718_001,0,0,0,False,A,-30.0,1.0,2,2,48000,406144,24000,202,234,248,32,46,0.2916666666666667,1.771259244258168,-24.309643063162092,8846,184.29166666666666,0.9898102180076769,-36.12117447103082,-37.67782820990125,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_000_spk_A_rep02.json
brir_theta_000_spk_B_rep02,exp02_campaign_20260718_001,0,0,0,False,B,30.0,1.0,2,2,48000,406144,24000,201,247,233,46,32,-0.2916666666666667,-0.8569022632684877,-24.309600558782734,8846,184.29166666666666,0.9898104725869245,-36.562553048270374,-36.338061006732495,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_000_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_000_spk_B_rep02.json
brir_theta_010_spk_B_rep01,exp02_campaign_20260718_001,1,10,10,False,B,30.0,1.0,1,2,48000,406144,24000,202,244,234,42,32,-0.20833333333333334,-0.6199299441009671,-24.307900080807187,8841,184.1875,0.9897488374606824,-36.33199601434057,-36.34471003999003,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_010_spk_B_rep01.json
brir_theta_010_spk_A_rep01,exp02_campaign_20260718_001,1,10,10,False,A,-30.0,1.0,1,2,48000,406144,24000,201,233,251,32,50,0.375,2.566250623987642,-24.307955438102002,8847,184.3125,0.98975967275153,-36.053504373560145,-37.932552065377735,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_010_spk_A_rep01.json
brir_theta_010_spk_B_rep02,exp02_campaign_20260718_001,1,10,10,False,B,30.0,1.0,2,2,48000,406144,24000,202,244,234,42,32,-0.20833333333333334,-0.5157814821136455,-24.30790618059959,8841,184.1875,0.9897665650395107,-36.34673043093256,-36.35618556546524,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_010_spk_B_rep02.json
brir_theta_010_spk_A_rep02,exp02_campaign_20260718_001,1,10,10,False,A,-30.0,1.0,2,2,48000,406144,24000,201,233,251,32,50,0.375,2.4797177302015427,-24.307863396228605,8840,184.16666666666666,0.989809477649031,-36.07024321008552,-37.944491178038234,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_010_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_010_spk_A_rep02.json
brir_theta_020_spk_A_rep01,exp02_campaign_20260718_001,2,20,20,False,A,-30.0,1.0,1,1,48000,406144,24000,202,234,255,32,53,0.4375,1.9887920255298468,-24.33070185659199,8846,184.29166666666666,0.989815136178042,-36.11139192550744,-38.1439199485372,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_020_spk_A_rep01.json
brir_theta_020_spk_B_rep01,exp02_campaign_20260718_001,2,20,20,False,B,30.0,1.0,1,1,48000,406144,24000,204,240,236,36,32,-0.08333333333333333,-0.02063349952282323,-24.330573458361123,8841,184.1875,0.9897514377696524,-36.059870299642746,-36.39093702085293,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_020_spk_B_rep01.json
