pair_id,source_a_sample_id,source_b_sample_id,trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,angular_velocity_delay_deg,tir_improvement_db,tir_loss_vs_zero_delay_db,si_sdr_improvement_db,si_sdr_loss_vs_zero_delay_db,gain_error_rms_db,gain_error_peak_abs_db,transition_time_ms,transition_delay_vs_zero_ms,ideal_tir_improvement_db,input_tir_db,output_tir_db,input_si_sdr_db,output_si_sdr_db
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,0.0,0.0,8.515598498741657,0.0,8.570914790919758,0.0,0.0,0.0,560.0,0.0,8.515598498741657,-0.3254545423178075,8.19014395642385,-0.4230622901931889,8.14785250072657
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,20.0,0.6,8.404813281438777,-0.1107852173028796,8.460333102932609,-0.11058168798714973,0.1264231260064417,0.5081398585214236,580.0000000000001,20.000000000000114,8.515598498741657,-0.3254545423178075,8.07935873912097,-0.4230622901931889,8.03727081273942
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,40.0,1.2,8.279179555649279,-0.236418943092378,8.334881991804002,-0.23603279911575736,0.25259045806488356,1.014237487738554,600.0000000000001,40.000000000000114,8.515598498741657,-0.3254545423178075,7.9537250133314705,-0.4230622901931889,7.9118197016108125
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,80.0,2.4,7.977303440380197,-0.5382950583614594,8.033264314071026,-0.5376504768487331,0.5031540095971867,2.012283327730456,640.0000000000001,80.00000000000011,8.515598498741657,-0.3254545423178075,7.651848898062389,-0.4230622901931889,7.610202023877837
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,120.0,3.6,7.598019515501338,-0.9175789832403183,7.6540486195849935,-0.9168661713347657,0.7497653866650301,2.97871285333446,680.0000000000001,120.00000000000011,8.515598498741657,-0.3254545423178075,7.27256497318353,-0.4230622901931889,7.230986329391804
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,160.0,4.8,7.130077243161867,-1.38552125557979,7.185969580472302,-1.3849452104474569,0.9906929720146695,3.8995758722290685,720.0000000000002,160.00000000000023,8.515598498741657,-0.3254545423178075,6.8046227008440585,-0.4230622901931889,6.762907290279113
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,10.0,200.0,6.0,6.563650435503207,-1.9519480632384498,6.619235271527276,-1.9516795193924832,1.2244728806309544,4.762991336083969,759.9999999999998,199.99999999999977,8.515598498741657,-0.3254545423178075,6.238195893185399,-0.4230622901931889,6.196172981334087
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,20.0,0.0,0.0,8.003163475532126,0.0,8.060715298522512,0.0,0.0,0.0,450.00000000000017,0.0,8.003163475532126,-0.3254545423178075,7.677708933214319,-0.4230622901931889,7.637653008329323
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,20.0,20.0,0.6,7.822630275982867,-0.1805331995492594,7.879928994452086,-0.18078630407042695,0.09957788199655557,0.32393027908204264,470.00000000000017,20.0,8.003163475532126,-0.3254545423178075,7.49717573366506,-0.4230622901931889,7.456866704258896
pair_01,LSDEV_0184,LSDEV_0196,30_deg_s,30.0,20.0,40.0,1.2,7.626552155331101,-0.3766113202010253,7.683626946509916,-0.3770883520125965,0.19907086537914417,0.6472847813689846,490.0000000000002,40.00000000000006,8.003163475532126,-0.3254545423178075,7.301097613013294,-0.4230622901931889,7.260564656316727
